P: 650,U: 281.43
P: 665,U: 281.81
P: 659,U: 282.19
P: 661,U: 193.11
P: 656,U: 281.81
P: 631,U: 1193.30
P: 645,U: 193.97
P: 643,U: 285.55
P: 646,U: 282.25
P: 647,U: 192.70
P: 649,U: 280.95
P: 649,U: 280.51
P: 620,U: 281.40
P: 645,U: 283.11
P: 638,U: 282.12
P: 640,U: 281.36
P: 646,U: 281.33
P: 637,U: 193.55
P: 652,U: 282.22
P: 636,U: 192.32
